ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
16241,"Gabriele ""Gaby"" Bhlmann",F,28,162,57,Switzerland,SUI,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
16241,"Gabriele ""Gaby"" Bhlmann",F,28,162,57,Switzerland,SUI,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
16241,"Gabriele ""Gaby"" Bhlmann",F,32,162,57,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
16241,"Gabriele ""Gaby"" Bhlmann",F,32,162,57,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
16241,"Gabriele ""Gaby"" Bhlmann",F,36,162,57,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
16241,"Gabriele ""Gaby"" Bhlmann",F,36,162,57,Switzerland,SUI,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
16241,"Gabriele ""Gaby"" Bhlmann",F,40,162,57,Switzerland,SUI,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
16241,"Gabriele ""Gaby"" Bhlmann",F,40,162,57,Switzerland,SUI,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",NA
16242,Beverly Jean Buhr,F,18,NA,NA,United States,USA,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Women's 3,000 metres",NA
16243,Marco Bhrer,M,26,178,82,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
16244,"Wilhelm ""Willy"" Bhrer",M,24,NA,NA,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Decathlon,NA
16245,Birger Bhring-Andersen,M,41,NA,NA,Norway,NOR,1948 Summer,1948,Summer,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",NA
16246,"Frederik Cornelis ""Frits"" Bhrman",M,23,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's High Jump,NA
16247,Werner Bhse,M,16,187,83,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Trap,NA
16248,Herbert Buhtz,M,21,NA,NA,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Double Sculls,Silver
16249,Kim Bui,F,23,155,49,Germany,GER,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,NA
16249,Kim Bui,F,23,155,49,Germany,GER,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Floor Exercise,NA
16249,Kim Bui,F,23,155,49,Germany,GER,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Uneven Bars,NA
16249,Kim Bui,F,23,155,49,Germany,GER,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,NA
16249,Kim Bui,F,27,155,49,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,NA
16249,Kim Bui,F,27,155,49,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,NA
16249,Kim Bui,F,27,155,49,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,NA
16250,Marco Bui,M,22,175,65,Italy,ITA,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Mountainbike, Cross-Country",NA
16250,Marco Bui,M,26,175,65,Italy,ITA,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",NA
16251,Bi Vn Hong,M,25,155,50,South Vietnam,VNM,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Road Race, Individual",NA
16252,Ovidiu Buidoso,M,25,177,NA,Romania,ROU,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,NA
16252,Ovidiu Buidoso,M,25,177,NA,Romania,ROU,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,NA
16252,Ovidiu Buidoso,M,25,177,NA,Romania,ROU,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Parallel Bars,NA
16252,Ovidiu Buidoso,M,25,177,NA,Romania,ROU,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar,NA
16252,Ovidiu Buidoso,M,25,177,NA,Romania,ROU,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,NA
16253,Yuliya Buieva,F,20,NA,NA,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,NA
16254,Moustafa Buihamghet,M,32,NA,57,Morocco,MAR,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Bantamweight,NA
16255,Anne Buijs,F,24,191,73,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,NA
16256,"Teunis ""Teun"" Buijs",M,28,202,96,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,NA
16257,"Danil ""Daan"" Buijze",M,23,NA,NA,Netherlands,NED,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 200 metres Breaststroke,NA
16258,Marion Buillet,F,23,170,56,France,FRA,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA
16259,Tihomir Buinjac,M,26,188,84,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
16260,"Leendert ""Leen"" Buis",M,21,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Individual",NA
16260,"Leendert ""Leen"" Buis",M,21,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Team",NA
16261,"Yvonne ""IJke"" Buisma (-Heijnen)",F,21,NA,NA,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's High Jump,NA
16262,Jean-Marie Buisset,M,26,172,72,Belgium,BEL,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,NA
16262,Jean-Marie Buisset,M,25,172,72,Belgium,BEL,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Two,NA
16262,Jean-Marie Buisset,M,25,172,72,Belgium,BEL,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,NA
16262,Jean-Marie Buisset,M,30,172,72,Belgium,BEL,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,NA
