ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
47832,Erna Herbers (Westhelle-),F,27,NA,NA,Germany,GER,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Women's 100 metres Backstroke,NA
47833,Garry Gerard Paul Herbert,M,22,168,55,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Gold
47833,Garry Gerard Paul Herbert,M,26,168,55,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,NA
47834,"Gordon ""Gord"" Herbert",M,25,198,91,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,NA
47835,Jake Herbert,M,27,183,84,United States,USA,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",NA
47836,Johannes Friedrich Herbert,M,23,NA,NA,Germany,GER,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
47837,John Alan Adolphus Herbert,M,22,188,76,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Triple Jump,NA
47837,John Alan Adolphus Herbert,M,26,188,76,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Triple Jump,NA
47837,John Alan Adolphus Herbert,M,31,188,76,Great Britain-2,GBR,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,NA
47838,Llewellyn George Herbert,M,18,184,85,South Africa,RSA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,NA
47838,Llewellyn George Herbert,M,23,184,85,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,Bronze
47838,Llewellyn George Herbert,M,23,184,85,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,NA
47838,Llewellyn George Herbert,M,27,184,85,South Africa,RSA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,NA
47839,Maud Herbert,F,18,188,70,France,FRA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's Windsurfer,NA
47839,Maud Herbert,F,22,188,70,France,FRA,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Women's Windsurfer,NA
47840,"Michael Adam ""Mike"" Herbert",M,27,178,83,United States,USA,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",NA
47840,"Michael Adam ""Mike"" Herbert",M,31,178,83,United States,USA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",NA
47840,"Michael Adam ""Mike"" Herbert",M,35,178,83,United States,USA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",NA
47841,Paolo Herbert,M,NA,NA,NA,Italy-1,ITA,1924 Winter,1924,Winter,Chamonix,Bobsleigh,Bobsleigh Men's Four/Five,NA
47842,Pierre-Hugues Herbert,M,25,188,79,France-2,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Mixed Doubles,NA
47842,Pierre-Hugues Herbert,M,25,188,79,France-2,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Doubles,NA
47843,Brian A. Herbinson,M,25,195,75,Canada,CAN,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",NA
47843,Brian A. Herbinson,M,25,195,75,Canada,CAN,1956 Summer,1956,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
47843,Brian A. Herbinson,M,29,195,75,Canada,CAN,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",NA
47843,Brian A. Herbinson,M,29,195,75,Canada,CAN,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",NA
47844,Hermann Gustav Herbold,M,21,NA,NA,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Eights,NA
47845,Georgette Herbos,F,NA,NA,NA,Belgium,BEL,1920 Summer,1920,Summer,Antwerpen,Figure Skating,Figure Skating Mixed Pairs,NA
47845,Georgette Herbos,F,NA,NA,NA,Belgium,BEL,1924 Winter,1924,Winter,Chamonix,Figure Skating,Figure Skating Mixed Pairs,NA
47846,Freddy Herbrand,M,28,190,88,Belgium,BEL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,NA
47847,Sophie Herbrecht,F,22,174,65,France,FRA,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,NA
47847,Sophie Herbrecht,F,26,174,65,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,NA
47847,Sophie Herbrecht,F,30,174,65,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,NA
47848,Christine Herbst (-Paulick),F,15,167,57,East Germany,GDR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Backstroke,NA
47848,Christine Herbst (-Paulick),F,15,167,57,East Germany,GDR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Backstroke,NA
47848,Christine Herbst (-Paulick),F,15,167,57,East Germany,GDR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
47849,Jochen Herbst,M,25,185,75,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
47850,Kurt Herbst,M,19,180,87.5,Austria,AUT,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
47850,Kurt Herbst,M,23,180,87.5,Austria,AUT,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
47851,Milo Herbst,M,26,186,78,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,NA
